State,Parliamentary Constituency,,Winner,,,,,Runner-up,,,,,Margin
,No.,Name,Candidate,Party,,%,Votes,Candidate,Party,,Votes,%,Votes
,9,Araria,Pradeep Kumar Singh,,BJP,47.91,"6,00,146",Mohammed Shahnawaz Alam,,RJD,"5,80,052",46.31,20094
,10,Kishanganj,Mohammad Jawed,,INC,35,"4,02,850",Mujahid Alam,,JD(U),"3,43,158",29.81,59692
,11,Katihar,Tariq Anwar,,INC,48.41,"5,67,092",Dulal Chandra Goswami,,JD(U),"5,17,229",44.15,49863
,12,Purnia,Pappu Yadav,,IND,47.46,"5,67,556",Santosh Kumar,,JD(U),"5,43,709",45.47,23847
,13,Madhepura,Dinesh Chandra Yadav,,JD(U),52.96,"6,40,649",Da Kumar Chandradeep,,RJD,"4,66,115",38.53,"1,74,534"
,14,Darbhanga,Gopal Jee Thakur,,BJP,55.33,"5,66,630",Lalit Kumar Yadav,,RJD,"3,88,474",37.93,"1,78,156"
,15,Muzaffarpur,Raj Bhushan Choudhary,,BJP,55.71,"6,19,749",Ajay Nishad,,INC,"3,84,822",34.59,"2,34,927"
,16,Vaishali,Veena Devi,,LJP(RV),48.38,"5,67,043",Vijay Kumar Shukla,,RJD,"4,77,409",40.73,89634
,17,Gopalganj,Alok Kumar Suman,,JD(U),48.15,"5,11,866",Prem Nath Chanchal Alias Chanchal Paswan,,VIP,"3,84,686",36.19,"1,27,180"
,18,Siwan,Vijay Lakshmi Devi,,JD(U),38.73,"3,86,508",Hena Shahab,,IND,"2,93,651",29.42,92857
,19,Maharajganj,Janardan Singh Sigriwal,,BJP,52.22,"5,29,533",Aakash Kumar Singh,,INC,"4,26,882",42.09,"1,02,651"
,20,Saran,Rajiv Pratap Rudy,,BJP,46.18,"4,71,752",Rohini Acharya,,RJD,"4,58,091",44.84,13661
,21,Hajipur,Chirag Paswan,,LJP(RV),53.29,"6,15,718",Shiv Chandra Ram,,RJD,"4,45,613",38.57,"1,70,105"
,22,Ujiarpur,Nityanand Rai,,BJP,49.51,"5,15,965",Alok Kumar Mehta,,RJD,"4,55,863",43.75,60102
,23,Samastipur,Shambhavi,,LJP(RV),52.97,"5,79,786",Sunny Hazari,,INC,"3,92,535",35.86,"1,87,251"
,24,Begusarai,Giriraj Singh,,BJP,50.15,"6,49,331",Abdhesh Kumar Roy,,CPI,"5,67,851",43.86,81480
,25,Khagaria,Rajesh Verma,,LJP(RV),50.73,"5,38,657",Sanjay Kumar,,CPI(M),"3,77,526",35.55,"1,61,131"
,26,Bhagalpur,Ajay Kumar Mandal,,JD(U),50.38,"5,36,031",Ajeet Sharma,,INC,"4,31,163",40.52,"1,04,868"
,27,Banka,Giridhari Yadav,,JD(U),49.96,"5,06,678",Jai Prakash Narayan Yadav,,RJD,"4,02,834",39.72,"1,03,834"
,28,Munger,Rajeev Ranjan Singh Alias Lalan Singh,,JD(U),48.3,"5,50,146",Kumari Anita,,RJD,"4,69,276",41.2,80870
,29,Nalanda,Kaushalendra Kumar,,JD(U),48.88,"5,59,422",Sandeep Saurav,,CPI(ML)L,"3,90,308",34.11,"1,69,114"
,30,Patna Sahib,Ravi Shankar Prasad,,BJP,54.7,"5,88,270",Anshul Avijit,,INC,"4,34,424",40.39,"1,53,846"
,31,Pataliputra,Misha Bharti,,RJD,49.86,"6,13,283",Ram Kripal Yadav,,BJP,"5,28,109",42.93,85174
,32,Arrah,Sudama Prasad,,CPI(ML)L,48.28,"5,29,382",R. K. Singh,,BJP,"4,69,574",42.82,59808
,33,Buxar,Sudhakar Singh,,RJD,40.82,"4,38,345",Mithlesh Tiwari,,BJP,"4,08,254",38.02,30091
,34,Sasaram,Manoj Kumar,,INC,46.76,"5,13,004",Shivesh Kumar,,BJP,"4,93,847",45.01,19157
,35,Karakat,Raja Ram Singh Kushwaha,,CPI(ML)L,36.89,"3,80,581",Pawan Singh,,IND,"2,74,723",26.63,"1,05,858"
,36,Jahanabad,Surendra Prasad Yadav,,RJD,47.88,"4,43,035",Chandeshwar Prasad,,JD(U),"3,00,444",32.47,"1,42,591"
,37,Aurangabad,Abhay Kumar Sinha,,RJD,49.22,"4,65,567",Sushil Kumar Singh,,BJP,"3,86,456",40.86,79111
,38,Gaya,Jitan Ram Manjhi,,HAM(S),51.36,"4,94,960",Kumar Sarvjeet,,RJD,"3,93,148",40.8,"1,01,812"
,39,Nawada,Vivek Thakur,,BJP,47.2,"4,10,608",Shrawan Kumar,,RJD,"3,42,938",39.42,67670
,40,Jamui,Arun Bharti,,LJP(RV),51.98,"5,09,046",Archana Kumari,,RJD,"3,96,564",40.5,"1,12,482"
Chandigarh,1,Chandigarh,Manish Tewari,,INC,48.23,"2,16,657",Sanjay Tandon,,BJP,"2,14,153",47.66,2504
Chhattisgarh,1,Sarguja,Chintamani Maharaj,,BJP,49.01,"7,13,200",Shashi Singh,,INC,"6,48,328",44.55,64822
,2,Raigarh,Radheshyam Rathiya,,BJP,55.63,"8,08,275",Menka Devi Singh,,INC,"5,67,884",39.08,240391
,3,Janjgir-Champa,Kamlesh Jangre,,BJP,48.71,"6,78,199",Shivkumar Dahariya,,INC,"6,18,199",44.4,60000
,4,Korba,Jyotsna Mahant,,INC,46.53,"5,70,182",Saroj Pandey,,BJP,"5,26,899",43,43283
,5,Bilaspur,Tokhan Sahu,,BJP,53.25,"7,24,937",Devender Singh Yadav,,INC,"5,60,379",41.16,164558
,6,Rajnandgaon,Santosh Pandey,,BJP,49.25,"7,12,057",Bhupesh Baghel,,INC,"6,67,646",46.18,44411
,7,Durg,Vijay Baghel,,BJP,62,"9,56,497",Rajendra Sahu,,INC,"5,18,271",33.59,438226
,8,Raipur,Brijmohan Agrawal,,BJP,66.19,"10,50,351",Vikas Upadhyay,,INC,"4,75,066",29.94,575285
,9,Mahasamund,Roop Kumari Choudhary,,BJP,53.06,"7,03,659",Tamradhwaj Sahu,,INC,"5,58,203",42.09,145456
,10,Bastar,Mahesh Kashyap,,BJP,45.5,"4,58,398",Kawasi Lakhma,,INC,"4,03,153",40.02,55245
,11,Kanker,Bhojraj Nag,,BJP,47.23,"5,97,624",Biresh Thakur,,INC,"5,95,740",47.08,1884
Dadra and Nagar Haveli and Daman and Diu,1,Daman And Diu,Patel Umeshbhai Babubhai,,IND,46.02,42523,Lalubhai Babubhai Patel,,BJP,36298,39.28,6225
,2,Dadra And Nagar Haveli,Delkar Kalaben Mohanbhai,,BJP,58.89,"1,21,074",Ajit Ramjibhai Mahala,,INC,63490,30.88,57584
Delhi,1,Chandni Chowk,Praveen Khandelwal,,BJP,53.46,"5,16,496",Jai Prakash Agarwal,,INC,"4,27,171",44.22,89325
,2,North East Delhi,Manoj Tiwari,,BJP,53.1,"8,24,451",Kanhaiya Kumar,,INC,"6,85,673",44.16,"1,38,778"
,3,East Delhi,Harsh Malhotra,,BJP,52.59,"6,64,819",Kuldeep Kumar (Monu),,AAP,"5,71,156",45.18,93663
,4,New Delhi,Bansuri Swaraj,,BJP,53.48,"4,53,185",Somnath Bharti,,AAP,"3,74,815",44.23,78370
,5,North West Delhi,Yogender Chandoliya,,BJP,58.26,"8,66,483",Udit Raj,,INC,"5,75,634",38.71,"2,90,849"
,6,West Delhi,Kamaljeet Sehrawat,,BJP,55.27,"8,42,658",Mahabal Mishra,,AAP,"6,43,645",42.22,"1,99,013"
,7,South Delhi,Ramvir Singh Bidhuri,,BJP,53.46,"6,92,832",Sahi Ram,,AAP,"5,68,499",43.87,"1,24,333"
Goa,1,North Goa,Shripad Yesso Naik,,BJP,56.43,"2,57,326",Ramakant Khalap,,INC,"1,41,311",30.99,"1,16,015"
,2,South Goa,Captain Viriato Fernandes,,INC,48.35,"2,17,836",Pallavi Shrinivas Dempo,,BJP,"2,04,301",45.35,13535
Gujarat,1,Kachchh,Vinodbhai Chavda,,BJP,60.23,"6,59,574",Nitishbhai Lalan,,INC,"3,90,792",35.68,268782
,2,Banaskantha,Geniben Thakor,,INC,48.83,"6,71,883",Rekhaben Hiteshbhai Chaudhary,,BJP,"6,41,477",46.62,30406
,3,Patan,Bharatsinhji Dabhi,,BJP,49.61,"5,91,947",Chandanji Thakor,,INC,"5,60,071",46.94,31876
,4,Mahesana,Haribhai Patel,,BJP,63.74,"6,86,406",Ramji Thakor (Palvi),,INC,"3,58,360",33.28,328046
,5,Sabarkantha,Shobhnaben Mahendrasinh Baraiya,,BJP,53.36,"6,77,318",Tushar Chaudhary,,INC,"5,21,636",40.85,155682
,6,Gandhinagar,Amit Shah,,BJP,76.48,"10,10,972",Sonal Patel,,INC,"2,66,256",20.13,744716
,7,Ahmedabad East,Hasmukh Patel,,BJP,68.28,"7,70,459",Himmatsinh Patel,,INC,"3,08,704",27.36,461755
,8,Ahmedabad West,Dineshbhai Kodarbhai Makwana,,BJP,63.28,"6,11,704",Bharat Makwana,,INC,"3,25,267",33.65,286437
,9,Surendranagar,Chandubhai Chhaganbhai Shihora,,BJP,59.2,"6,69,749",Rutvik Makwana,,INC,"4,08,132",36.07,261617
,10,Rajkot,Parshottam Rupala,,BJP,67.37,"8,57,984",Paresh Dhanani,,INC,"3,73,724",29.35,484260
,11,Porbandar,Mansukh Mandaviya,,BJP,68.15,"6,33,118",Lalitbhai Vasoya,,INC,"2,49,758",26.88,383360
,12,Jamnagar,Poonamben Maadam,,BJP,58.98,"6,20,049",J.P Marvia,,INC,"3,82,041",36.34,238008
,13,Junagadh,Rajesh Chudasama,,BJP,54.67,"5,84,049",Hirabhai Jotva,,INC,"4,48,555",41.99,135494
,14,Amreli,Bharatbhai Manubhai Sutariya,,BJP,66.28,"5,80,872",Jennyben Thummar,,INC,"2,59,804",29.64,321068
,15,Bhavnagar,Nimuben Jayantibhai Bambhania,,BJP,68.46,"7,16,883",Umesh Makwana,,AAP,"2,61,594",24.98,455289
,16,Anand,Mitesh Rameshbhai Patel,,BJP,52.44,"6,12,484",Amitbhai Chavda,,INC,"5,22,545",44.74,89939
,17,Kheda,Devusinh Jesingbhai Chauhan,,BJP,63.31,"7,44,435",Kalusinh Dabhi,,INC,"3,86,677",32.88,357758
,18,Panchmahal,Rajpalsinh Mahendrasinh Jadhav,,BJP,70.22,"7,94,579",Gulabsinh Chaudhan,,INC,"2,85,237",25.21,509342
,19,Dahod,Jasvantsinh Sumanbhai Bhabhor,,BJP,61.59,"6,88,715",Prabhaben Taviyad,,INC,"3,55,038",31.75,333677
,20,Vadodara,Hemang Yogeshchandra Joshi,,BJP,72.04,"8,73,189",Jashpalsinh Padhiyar,,INC,"2,91,063",24.01,582126
,21,Chhota Udaipur,Jashubhai Bhilubhai Rathva,,BJP,62.84,"7,96,589",Sukhrambhai Rathwa,,INC,"3,97,812",31.38,398777
,22,Bharuch,Mansukhbhai Vasava,,BJP,50.72,"6,08,157",Chaitar Vasava,,AAP,"5,22,461",43.58,85696
,23,Bardoli,Parbhubhai Vasava,,BJP,57.04,"7,63,950",Siddharth Chaudhary,,INC,"5,33,697",39.85,230253
,24,Surat,Mukesh Dalal,,BJP,,,,,,,,
