State,Parliamentary Constituency,,,Winner,,,Runner-up,,,Margin,Marginï¿
,No.,Name,Type,Candidate,,Votes (Vote%),Candidate,,Votes (Vote%),,
Bihar,1,Valmiki Nagar,GEN,Baidyanath Prasad Mahto,Janata Dal (United),"6,02,660",Shashwat Kedar,INC,"2,48,044","3,54,616",0.3436
,2,Paschim Champaran,GEN,Sanjay Jaiswal,Bharatiya Janata Party,"6,03,706",Brijesh Kumar Kushwaha,Rashtriya Lok Samta Party,"3,09,800","2,93,906",0.2902
,3,Purvi Champaran,GEN,Radha Mohan Singh,Bharatiya Janata Party,"5,77,787",Akash Kumar Singh,Rashtriya Lok Samta Party,"2,84,139","2,93,648",0.2938
,4,Sheohar,GEN,Rama Devi,Bharatiya Janata Party,"6,08,678",Syed Faisal Ali,Rashtriya Janata Dal,"2,68,318","3,40,360",0.3388
,5,Sitamarhi,GEN,Sunil Kumar Pintu,Janata Dal (United),"5,67,745",Arjun Rai,Rashtriya Janata Dal,"3,17,206","2,50,539",0.2412
,6,Madhubani,GEN,Ashok Kumar Yadav,Bharatiya Janata Party,"5,95,843",Badri Kumar Purbey,Vikassheel Insaan Party,"1,40,903","4,54,940",0.4721
,7,Jhanjharpur,GEN,Ramprit Mandal,Janata Dal (United),"6,02,391",Gulab Yadav,Rashtriya Janata Dal,"2,79,440","3,22,951",0.3045
,8,Supaul,GEN,Dileshwar Kamait,Janata Dal (United),"5,97,377",Ranjeet Ranjan,INC,"3,30,524","2,66,853",0.2402
,9,Araria,GEN,Pradeep Kumar Singh,Bharatiya Janata Party,"6,18,434",Sarfaraz Alam,Rashtriya Janata Dal,"4,81,193","1,37,241",0.1173
,10,Kishanganj,GEN,Mohammad Jawed,INC,"3,67,017",Syed Mahmood Ashraf,Janata Dal (United),"3,32,551",34466,0.0313
,11,Katihar,GEN,Dulal Chandra Goswami,Janata Dal (United),"5,59,423",Tariq Anwar,INC,"5,02,220",57203,0.0512
,12,Purnia,GEN,Santosh Kumar,Janata Dal (United),"6,32,924",Uday Singh,INC,"3,69,463","2,63,461",0.2283
,13,Madhepura,GEN,Dinesh Chandra Yadav,Janata Dal (United),"6,24,334",Sharad Yadav,Rashtriya Janata Dal,"3,22,807","3,01,527",0.2628
,14,Darbhanga,GEN,Gopal Jee Thakur,Bharatiya Janata Party,"5,86,668",Abdul Bari Siddiqui,Rashtriya Janata Dal,"3,18,689","2,67,979",0.2777
,15,Muzaffarpur,GEN,Ajay Nishad,Bharatiya Janata Party,"6,66,878",Raj Bhushan Singh,Vikassheel Insaan Party,"2,56,890","4,09,988",0.3975
