Year,State,Constituency_No,Constituency_Name,Constituency_Type,Winner_Candidate,Winner_Party,Winner_Votes,Winner_Percentage,Runner_up_Candidate,Runner_up_Party,Runner_up_Votes,Runner_up_Percentage,Margin_Votes,Status,Margin_Percentage,Victory_Category,Coalition_Block,Runner_Up_Ratio,Prev_Winner_Party,Seat_Flip_Status,Incumbent_Hold_Count
2004,Bihar,11,Sitamarhi,GEN,Sitaram Yadav,RJD,326165.0,58.84,Nawal Kishore Rai,JD(U),228160.0,41.16,98005.0,Result Declared,17.68,Landslide,UPA / I.N.D.I.A.,0.6995,,,0
2004,Bihar,12,Sheohar,GEN,Sitaram Singh,RJD,303243.0,56.94,Mohammad Anwarul Haque,BJP,229360.0,43.06,73883.0,Result Declared,13.87,Comfortable,UPA / I.N.D.I.A.,0.7564,,,0
2004,Bihar,13,Madhubani,GEN,Shakeel Ahmad,INC,328182.0,57.65,Hukmdev Narayan Yadav,BJP,241103.0,42.35,87079.0,Result Declared,15.3,Landslide,UPA / I.N.D.I.A.,0.7347,,,0
2004,Bihar,14,Jhanjharpur,GEN,Devendra Prasad Yadav,RJD,323400.0,51.01,Jagannath Mishra,JD(U),310565.0,48.99,12835.0,Result Declared,2.02,Tight / Close Contest,UPA / I.N.D.I.A.,0.9603,,,0
2004,Bihar,15,Darbhanga,GEN,Ali Ashraf Fatmi,RJD,427672.0,60.08,Kirti Azad,BJP,284209.0,39.92,143463.0,Result Declared,20.15,Landslide,UPA / I.N.D.I.A.,0.6645,,,0
2004,Bihar,16,Rosera,SC,Ram Chandra Paswan,LJP,394240.0,60.65,Dasai Chowdhary,JD(U),255829.0,39.35,138411.0,Result Declared,21.29,Landslide,NDA,0.6489,,,0
2004,Bihar,17,Samastipur,GEN,Alok Kumar Mehta,RJD,437457.0,58.47,Ram Chandra Singh,JD(U),310674.0,41.53,126783.0,Result Declared,16.95,Landslide,UPA / I.N.D.I.A.,0.7102,,,0
2004,Bihar,18,Barh,GEN,Vijay Krishna,RJD,426856.0,52.31,Nitish Kumar,JD(U),389168.0,47.69,37688.0,Result Declared,4.62,Tight / Close Contest,UPA / I.N.D.I.A.,0.9117,,,0
2004,Bihar,19,Balia,GEN,Surajbhan Singh,LJP,233869.0,59.73,Shatrughna Prasad Singh,CPI,157642.0,40.27,76227.0,Result Declared,19.47,Landslide,NDA,0.6741,,,0
2004,Bihar,20,Saharsa,GEN,Ranjeet Ranjan,LJP,350426.0,52.3,Dinesh Chandra Yadav,JD(U),319639.0,47.7,30787.0,Result Declared,4.59,Tight / Close Contest,NDA,0.9121,,,0
2004,Bihar,21,Madhepura,GEN,Lalu Prasad Yadav,RJD,344301.0,55.66,Sharad Yadav,JD(U),274314.0,44.34,69987.0,Result Declared,11.31,Comfortable,UPA / I.N.D.I.A.,0.7967,,,0
2004,Bihar,22,Araria,SC,Sukdeo Paswan,BJP,216677.0,53.42,Ramji Das Rishideo,SP,188933.0,46.58,27744.0,Result Declared,6.84,Comfortable,NDA,0.872,,,0
2004,Bihar,23,Kishanganj,GEN,Mohammed Taslimuddin,RJD,420331.0,61.8,Syed Shahnawaz Hussain,BJP,259834.0,38.2,160497.0,Result Declared,23.6,Landslide,UPA / I.N.D.I.A.,0.6182,,,0
2004,Bihar,24,Purnea,GEN,Uday Singh,BJP,244426.0,51.35,Rajesh Ranjan,LJP,231543.0,48.65,12883.0,Result Declared,2.71,Tight / Close Contest,NDA,0.9473,,,0
2004,Bihar,25,Katihar,GEN,Nikhil Kumar Choudhary,BJP,288922.0,50.22,Tariq Anwar,NCP,286357.0,49.78,2565.0,Result Declared,0.45,Tight / Close Contest,NDA,0.9911,,,0
2004,Bihar,26,Banka,GEN,Giridhari Yadav,RJD,339880.0,50.35,Digvijay Singh,JD(U),335211.0,49.65,4669.0,Result Declared,0.69,Tight / Close Contest,UPA / I.N.D.I.A.,0.9863,,,0
2004,Bihar,27,Bhagalpur,GEN,Sushil Kumar Modi,BJP,345151.0,60.29,Subodh Ray,CPI(M),227298.0,39.71,117853.0,Result Declared,20.59,Landslide,NDA,0.6585,,,0
2004,Bihar,28,Khagaria,GEN,Rabindra Kumar Rana,RJD,322440.0,55.81,Renu Kumari Singh,JD(U),255317.0,44.19,67123.0,Result Declared,11.62,Comfortable,UPA / I.N.D.I.A.,0.7918,,,0
2004,Bihar,29,Monghyr,GEN,Jay Prakash Narayan Yadav,RJD,453286.0,57.33,Monazir Hassan,JD(U),337359.0,42.67,115927.0,Result Declared,14.66,Comfortable,UPA / I.N.D.I.A.,0.7443,,,0
2004,Bihar,30,Begusarai,GEN,Rajiv Ranjan Singh,JD(U),301562.0,51.76,Krishna Sahi,INC,281071.0,48.24,20491.0,Result Declared,3.52,Tight / Close Contest,NDA,0.9321,,,0
2004,Bihar,31,Nalanda,GEN,Nitish Kumar,JD(U),471310.0,56.09,Kumar Pushpanjay,LJP,368914.0,43.91,102396.0,Result Declared,12.19,Comfortable,NDA,0.7827,,,0
2004,Bihar,32,Patna,GEN,Ram Kripal Yadav,RJD,433853.0,52.33,C. P. Thakur,BJP,395291.0,47.67,38562.0,Result Declared,4.65,Tight / Close Contest,UPA / I.N.D.I.A.,0.9111,,,0
2004,Bihar,33,Arrah,GEN,Kanti Singh,RJD,299422.0,66.67,Ram Naresh Ram,CPI(ML)L,149679.0,33.33,149743.0,Result Declared,33.34,Landslide,UPA / I.N.D.I.A.,0.4999,,,0
2004,Bihar,34,Buxar,GEN,Lalmuni Chaubey,BJP,205980.0,57.68,Dadan Singh Yadav,IND,151114.0,42.32,54866.0,Result Declared,15.36,Landslide,NDA,0.7336,,,0
2004,Bihar,35,Sasaram,SC,Meira Kumar,INC,416673.0,72.45,Muni Lall,BJP,158411.0,27.55,258262.0,Result Declared,44.91,Landslide,UPA / I.N.D.I.A.,0.3802,,,0
2004,Bihar,36,Bikramganj,GEN,Ajit Kumar Singh,JD(U),305363.0,55.33,Ram Prasad Singh,RJD,246575.0,44.67,58788.0,Result Declared,10.65,Comfortable,NDA,0.8075,,,0
2004,Bihar,37,Aurangabad,GEN,Nikhil Kumar,INC,290009.0,50.65,Sushil Kumar Singh,JD(U),282549.0,49.35,7460.0,Result Declared,1.3,Tight / Close Contest,UPA / I.N.D.I.A.,0.9743,,,0
2004,Bihar,38,Jahanabad,GEN,Ganesh Prasad Singh,RJD,400063.0,53.08,Arun Kumar,JD(U),353625.0,46.92,46438.0,Result Declared,6.16,Comfortable,UPA / I.N.D.I.A.,0.8839,,,0
2004,Bihar,39,Nawada,SC,Virchandra Paswan,RJD,489992.0,53.03,Sanjay Paswan,BJP,433986.0,46.97,56006.0,Result Declared,6.06,Comfortable,UPA / I.N.D.I.A.,0.8857,,,0
2004,Bihar,40,Gaya,SC,Rajesh Kumar Manjhi,RJD,464829.0,56.23,Balbir Chand,BJP,361895.0,43.77,102934.0,Result Declared,12.45,Comfortable,UPA / I.N.D.I.A.,0.7786,,,0
2004,Chandigarh,1,Chandigarh,GEN,Pawan Kumar Bansal,INC,139880.0,59.65,Satya Pal Jain,BJP,94632.0,40.35,45248.0,Result Declared,19.29,Landslide,UPA / I.N.D.I.A.,0.6765,,,0
2004,Chhattisgarh,1,Surguja,ST,Nand Kumar Sai,BJP,357108.0,58.47,Khelsai Singh,INC,253656.0,41.53,103452.0,Result Declared,16.94,Landslide,NDA,0.7103,,,0
2004,Chhattisgarh,2,Raigarh,ST,Vishnu Deo Sai,BJP,329057.0,52.96,Rampukar Singh,INC,292326.0,47.04,36731.0,Result Declared,5.91,Comfortable,NDA,0.8884,,,0
