Year,State,Constituency_No,Constituency_Name,Constituency_Type,Winner_Candidate,Winner_Party,Winner_Votes,Winner_Percentage,Runner_up_Candidate,Runner_up_Party,Runner_up_Votes,Runner_up_Percentage,Margin_Votes
2004,Jammu and Kashmir,3,Anantnag,GEN,Mehbooba Mufti,JKPDP,74436,,Mirza Mehboob Beg,JKNC,35498,,38938
2004,Jammu and Kashmir,4,Ladakh,GEN,Thupstan Chhewang,IND,66839,,Hassan Khan,JKNC,41126,,25713
2004,Jammu and Kashmir,5,Udhampur,GEN,Chaudhary Lal Singh,INC,240872,,Chaman Lal Gupta,BJP,193697,,47175
2004,Jammu and Kashmir,6,Jammu,GEN,Madan Lal Sharma,INC,319994,,Nirmal Kumar Singh,BJP,302426,,17568
2004,Jharkhand,1,Rajmahal,ST,Hemlal Murmu,JMM,226411,,Thomas Hansda,INC,223437,,2974
2004,Jharkhand,2,Dumka,ST,Shibu Soren,JMM,339542,,Sone Lal Hembrom,BJP,224527,,115015
2004,Jharkhand,3,Godda,GEN,Furkan Ansari,INC,373138,,Pradeep Yadav,BJP,346384,,26754
2004,Jharkhand,4,Chatra,GEN,Dhirendra Agarwal,RJD,121464,,Inder Singh Namdhari,JD(U),102609,,18855
2004,Jharkhand,5,Kodarma,GEN,Babulal Marandi,BJP,366656,,Champa Verma,JMM,211712,,154944
2004,Jharkhand,6,Giridih,GEN,Tek Lal Mahto,JMM,350255,,Ravindra Kumar Pandey,BJP,200461,,149794
2004,Jharkhand,7,Dhanbad,GEN,Chandra Shekhar Dubey,INC,355499,,Rita Verma,BJP,236121,,119378
2004,Jharkhand,8,Ranchi,GEN,Subodh Kant Sahay,INC,284035,,Ram Tahal Choudhary,BJP,268614,,15421
2004,Jharkhand,9,Jamshedpur,GEN,Sunil Kumar Mahato,JMM,396056,,Abha Mahato,BJP,290423,,105633
2004,Jharkhand,10,Singhbhum,ST,Bagun Sumbrai,INC,221343,,Laxman Giluwa,BJP,162147,,59196
2004,Jharkhand,11,Khunti,ST,Sushila Kerketta,INC,218158,,Kariya Munda,BJP,166932,,51226
2004,Jharkhand,12,Lohardaga,ST,Rameshwar Oraon,INC,223920,,Dukha Bhagat,BJP,133665,,90255
2004,Jharkhand,13,Palamau,SC,Manoj Kumar,RJD,206733,,Braj Mohan Ram,BJP,151589,,55144
2004,Jharkhand,14,Hazaribagh,GEN,Bhubneshwar Prasad Mehta,CPI,356058,,Yashwant Sinha,BJP,250730,,105328
