Year,State_UT,Party_Alliance,Votes_Received,Vote_Share_Percentage,Seats_Won
2014,Haryana,BJP,,34.699999999999996,7
2014,Haryana,INC,,22.900000000000002,1
2014,Haryana,Indian National Lok Dal,,24.4,2
2014,Himachal Pradesh,BJP,,53.31,4
2014,Himachal Pradesh,INC,,40.699999999999996,0
2014,Jammu and Kashmir,BJP,,34.4,3
2014,Jammu and Kashmir,INC,,22.900000000000002,0
2014,Jammu and Kashmir,Jammu & Kashmir People'S Democratic Party,,20.5,3
2014,Jammu and Kashmir,JKNC,,11.1,0
2014,Jammu and Kashmir,IND,,,0
2014,Jharkhand,BJP,,40.1,12
2014,Jharkhand,INC,,13.3,0
2014,Jharkhand,Jharkhand Vikas Morcha (Prajatantrik),,12.1,0
2014,Jharkhand,JMM,,9.3,2
2014,Jharkhand,IND,,,0
2014,Karnataka,BJP,,43.0,17
2014,Karnataka,INC,,40.8,9
2014,Karnataka,JD(S),,11.0,2
2014,Kerala,UDF,5590285,31.1,8
2014,Kerala,IUML,816226,4.54,2
2014,Kerala,KC(M),424194,2.36,1
2014,Kerala,RSP,408528,2.27,1
2014,Kerala,SJ(D),307597,1.71,0
2014,Kerala,LDF,3880655,21.59,5
2014,Kerala,Ldf Ind.,1662997,9.25,2
2014,Kerala,CPI,1364010,7.59,1
2014,Kerala,JD(S),303595,1.69,0
2014,Kerala,NDA,1856750,10.33,0
2014,Kerala,KC(N),44357,0.25,0
2014,Kerala,RSP(B),43051,0.24,0
2014,Kerala,Others,1273648,7.08,
2014,Lakshadweep,NCP,,50.1,1
2014,Lakshadweep,INC,,46.6,0
2014,Madhya Pradesh,BJP,16015685,54.800000000000004,27
2014,Madhya Pradesh,INC,10340274,35.4,2
2014,Madhya Pradesh,BSP,1124772,3.8,0
2014,Maharashtra,BJP,,27.3,22
2014,Maharashtra,SS,,20.599999999999998,18
2014,Maharashtra,INC,,18.099999999999998,3
2014,Maharashtra,NCP,,16.0,4
2014,Maharashtra,Swabhimani Paksha,,2.3,1
2014,Maharashtra,Bahujan Vikas Aaghadi,,,0
2014,Maharashtra,IND,,,0
2014,Manipur,BJP,,11.899999999999999,0
2014,Manipur,INC,,41.699999999999996,2
2014,Manipur,Naga People'S Front,,19.900000000000002,0
2014,Manipur,CPI,,14.000000000000002,0
2014,Meghalaya,BJP,,8.9,0
2014,Meghalaya,INC,,37.9,1
2014,Meghalaya,National People'S Party,,22.2,1
2014,Meghalaya,NCP,,,0
2014,Mizoram,INC,,48.6,1
2014,Nagaland,Naga People'S Front,,68.7,1
2014,Nagaland,INC,,30.099999999999998,
2014,Odisha,BJD,,44.1,20
2014,Odisha,BJP,,21.5,1
2014,Odisha,INC,,26.0,0
2014,Odisha,CPI,,0.3,0
2014,Puducherry,All India N.R. Congress,,34.599999999999994,1
2014,Puducherry,INC,,26.3,0
2014,Punjab,INC,,33.1,3
2014,Punjab,SAD,,20.3,4
2014,Punjab,BJP,,8.7,2
2014,Punjab,AAP,,30.4,4
2014,Rajasthan,BJP,,54.900000000000006,25
2014,Rajasthan,INC,,30.4,0
2014,Sikkim,SDF,,53.0,1
2014,Sikkim,SKM,,39.5,0
2014,Sikkim,BJP,,2.4,0
2014,Sikkim,INC,,2.3,0
2014,Tamil Nadu,AIADMK,,44.3,37
2014,Tamil Nadu,DMK,,23.599999999999998,0
2014,Tamil Nadu,BJP,,5.5,1
2014,Tamil Nadu,Pattali Makkal Katchi,,4.3999999999999995,1
2014,Telangana,TRS,,33.9,11
2014,Telangana,INC,,20.5,2
2014,Telangana,BJP,,8.5,1
2014,Telangana,TDP,,3.1,1
2014,Telangana,YSRCP,,2.9,1
2014,Telangana,AIMIM,,1.4,1
2014,Tripura,CPI(M),,64.0,2
2014,Tripura,INC,,15.2,0
2014,Tripura,BJP,,5.7,0
2014,Uttar Pradesh,NDA,34318854,42.63,71
2014,Uttar Pradesh,Apna Dal,812315,1.0,2
2014,Uttar Pradesh,SP,17988967,22.35,5
2014,Uttar Pradesh,BSP,15914194,19.77,0
2014,Uttar Pradesh,UPA,6061267,7.53,2
2014,Uttar Pradesh,RLD,689409,86.0,0
2014,Uttarakhand,BJP,,55.300000000000004,5
2014,Uttarakhand,INC,,34.0,0
2014,West Bengal,TMC,,39.800000000000004,34
2014,West Bengal,CPI(M),,23.0,2
2014,West Bengal,BJP,,18.0,2
2014,West Bengal,INC,,9.700000000000001,4
2019,Andaman and Nicobar Islands,INC,,45.98,1
2019,Andaman and Nicobar Islands,BJP,,45.300000000000004,0
2019,Chandigarh,BJP,,50.63999999999999,1
2019,Chandigarh,INC,,40.35,0
2019,Chandigarh,AAP,,3.02,0
2019,Dadra and Nagar Haveli,BJP,,40.92,0
2019,Dadra and Nagar Haveli,IND,,45.440000000000005,1
2019,Daman and Diu,BJP,,42.980000000000004,1
2019,Daman and Diu,INC,,31.619999999999997,0
2019,Delhi,BJP,,56.56,7
2019,Delhi,INC,,22.509999999999998,0
2019,Delhi,AAP,,18.11,0
2019,Lakshadweep,NCP,,48.61,1
2019,Lakshadweep,INC,,46.86,0
2019,Puducherry,INC,,56.269999999999996,1
2019,Puducherry,All India N.R. Congress,,31.36,0
2019,Andhra Pradesh,YSRCP,15537006,49.89,22
2019,Andhra Pradesh,TDP,12515345,40.19,3
2019,Andhra Pradesh,Jana Sena Party,1829346,5.87,0
2019,Andhra Pradesh,INC,406977,1.31,0
2019,Andhra Pradesh,BJP,303985,98.0,0
2019,Arunachal Pradesh,BJP,,58.220000000000006,2
2019,Arunachal Pradesh,INC,,20.69,0
2019,Assam,NDA,6484596,36.41,9
2019,Assam,AGP,1480697,8.309999999999999,0
2019,Assam,BPF,446774,2.5,0
2019,Assam,UPA,6373659,35.79,3
2019,Assam,AIUDF,1402088,7.870000000000001,1
2019,Assam,IND,484560,4.3,1
2019,Bihar,BJP,,21.58,17
2019,Bihar,JD(U),,19.81,16
2019,Bihar,LJP,,7.86,6
2019,Bihar,INC,,7.7,1
2019,Bihar,RJD,,16.36,0
2019,Bihar,Rashtriya Lok Samta Party,,,0
2019,Bihar,NCP,,10.100000000000001,0
2019,Chhattisgarh,BJP,6902477,51.44,9
2019,Chhattisgarh,INC,5569283,41.510000000000005,2
2019,Chhattisgarh,BSP,313261,2.33,0
2019,Goa,BJP,,51.18000000000001,1
2019,Goa,INC,,42.92,1
2019,Gujarat,BJP,,62.21,26
2019,Gujarat,INC,,32.11,0
2019,Haryana,BJP,7357347,58.21,10
2019,Haryana,INC,3604106,28.51,0
2019,Haryana,Jannayak Janata Party,619970,4.9,0
2019,Haryana,BSP,461273,3.65,0
2019,Haryana,Indian National Lok Dal,240258,1.9,0
2019,Himachal Pradesh,BJP,,69.11,4
2019,Himachal Pradesh,INC,,27.3,0
2019,Jammu and Kashmir,BJP,,46.39,3
2019,Jammu and Kashmir,INC,,28.470000000000002,0
2019,Jammu and Kashmir,Jammu & Kashmir People'S Democratic Party,,2.37,0
2019,Jammu and Kashmir,JKNC,,7.89,3
2019,Jharkhand,BJP,,50.96000000000001,11
2019,Jharkhand,All Jharkhand Students Union,,4.33,1
2019,Jharkhand,INC,,15.629999999999999,1
2019,Jharkhand,JMM,,11.51,1
2019,Karnataka,BJP,,51.38,25
2019,Karnataka,IND,,,1
2019,Karnataka,INC,,31.879999999999995,1
2019,Karnataka,JD(S),,9.67,1
2019,Kerala,UDF,7596610,37.46,15
2019,Kerala,IUML,1111697,5.48,2
2019,Kerala,RSP,499677,2.46,1
2019,Kerala,KEC(M),421046,2.08,1
2019,Kerala,LDF,5266510,25.97,1
2019,Kerala,CPI,1233886,6.08,0
2019,Kerala,Ldf Ind.,655991,4.24,0
2019,Kerala,NDA,2635810,13.0,0
2019,Kerala,BDJS,380847,1.8800000000000001,0
2019,Kerala,KC (T),155135,0.76,0
2019,Madhya Pradesh,BJP,,57.99999999999999,28
2019,Madhya Pradesh,INC,,34.5,1
2019,Maharashtra,BJP,14912139,27.839999999999996,23
2019,Maharashtra,SS,12589064,23.5,18
2019,Maharashtra,NCP,8387363,15.659999999999998,4
2019,Maharashtra,INC,8792237,16.41,1
2019,Maharashtra,AIMIM,389042,0.73,1
2019,Maharashtra,Vanchit Bahujan Aaghadi,3743560,6.92,0
2019,Maharashtra,IND,1992817,3.7199999999999998,1
2019,Maharashtra,None of the Above,488766,0.91,
2019,Manipur,BJP,,34.22,1
2019,Manipur,Naga People'S Front,,22.48,1
2019,Manipur,INC,,24.63,0
2019,Meghalaya,BJP,,7.93,0
2019,Meghalaya,INC,,48.28,1
2019,Meghalaya,National People'S Party,,22.27,1
2019,Mizoram,Mizo National Front,,44.89,1
2019,Mizoram,INC,,43.26,0
2019,Nagaland,Nationalist Democratic Progressive Party,,49.730000000000004,1
