Year,State,Constituency_Name,Winner_Candidate,Winner_Party,Previous_Winner,Previous_Party,Incumbent_Reelected
2004,Andhra Pradesh,Narasaraopet,Mekapati Rajamohan Reddy,INC,,,
2009,Andhra Pradesh,Narasaraopet,Modugula Venugopala Reddy,TDP,Mekapati Rajamohan Reddy,INC,FALSE
2014,Andhra Pradesh,Narasaraopet,Rayapati Sambasiva Rao,TDP,Modugula Venugopala Reddy,TDP,FALSE
2019,Andhra Pradesh,Narasaraopet,Lavu Sri Krishna Devarayalu,YSRCP,Rayapati Sambasiva Rao,TDP,FALSE
2024,Andhra Pradesh,Narasaraopet,Lavu Sri Krishna Devarayalu,TDP,Lavu Sri Krishna Devarayalu,YSRCP,TRUE
2004,Andhra Pradesh,Nellore,Panabaka Lakshmi,INC,,,
2009,Andhra Pradesh,Nellore,Mekapati Rajamohan Reddy,INC,Panabaka Lakshmi,INC,FALSE
2014,Andhra Pradesh,Nellore,Mekapati Rajamohan Reddy,YSRCP,Mekapati Rajamohan Reddy,INC,TRUE
2019,Andhra Pradesh,Nellore,Adala Prabhakara Reddy,YSRCP,Mekapati Rajamohan Reddy,YSRCP,FALSE
2024,Andhra Pradesh,Nellore,Vemireddy Prabhakar Reddy,TDP,Adala Prabhakara Reddy,YSRCP,FALSE
2004,Andhra Pradesh,Nizamabad,Madhu Goud Yaskhi,INC,,,
2009,Andhra Pradesh,Nizamabad,Madhu Goud Yaskhi,INC,Madhu Goud Yaskhi,INC,TRUE
2014,Andhra Pradesh,Nizamabad,Kalvakuntla Kavitha,TRS,Madhu Goud Yaskhi,INC,FALSE
2004,Andhra Pradesh,Ongole,Magunta Sreenivasulu Reddy,INC,,,
2009,Andhra Pradesh,Ongole,Magunta Sreenivasulu Reddy,INC,Magunta Sreenivasulu Reddy,INC,TRUE
2014,Andhra Pradesh,Ongole,Y. V. Subba Reddy,YSRCP,Magunta Sreenivasulu Reddy,INC,FALSE
2019,Andhra Pradesh,Ongole,Magunta Sreenivasulu Reddy,YSRCP,Y. V. Subba Reddy,YSRCP,FALSE
2024,Andhra Pradesh,Ongole,Magunta Sreenivasulu Reddy,TDP,Magunta Sreenivasulu Reddy,YSRCP,TRUE
2004,Andhra Pradesh,Parvathipuram,Kishore Chandra Deo,INC,,,
2014,Andhra Pradesh,Peddapalle,Balka Suman,TRS,,,
2004,Andhra Pradesh,Peddapalli,Gaddam Venkatswamy,INC,,,
2009,Andhra Pradesh,Peddapalli,Gaddam Vivek Venkatswamy,INC,Gaddam Venkatswamy,INC,FALSE
