Year,State,Constituency_Name,Winner_Candidate,Winner_Party,Previous_Winner,Previous_Party,Incumbent_Reelected
2024,Maharashtra,Mumbai North,Piyush Goyal,BJP,Gopal Shetty,BJP,FALSE
2004,Maharashtra,Mumbai North Central,Eknath Gaikwad,INC,,,
2009,Maharashtra,Mumbai North Central,Priya Dutt,INC,Eknath Gaikwad,INC,FALSE
2019,Maharashtra,Mumbai North Central,Poonam Mahajan,BJP,Priya Dutt,INC,FALSE
2024,Maharashtra,Mumbai North Central,Varsha Gaikwad,INC,Poonam Mahajan,BJP,FALSE
2004,Maharashtra,Mumbai North East,Gurudas Kamat,INC,,,
2009,Maharashtra,Mumbai North East,Sanjay Dina Patil,NCP,Gurudas Kamat,INC,FALSE
2019,Maharashtra,Mumbai North East,Manoj Kotak,BJP,Sanjay Dina Patil,NCP,FALSE
2024,Maharashtra,Mumbai North East,Sanjay Dina Patil,Ss(Ubt),Manoj Kotak,BJP,FALSE
2004,Maharashtra,Mumbai North West,Sunil Dutt,INC,,,
2009,Maharashtra,Mumbai North West,Gurudas Kamat,INC,Sunil Dutt,INC,FALSE
2019,Maharashtra,Mumbai North West,Gajanan Kirtikar,SS,Gurudas Kamat,INC,FALSE
2024,Maharashtra,Mumbai North West,Ravindra Waikar,SS,Gajanan Kirtikar,SS,FALSE
2004,Maharashtra,Mumbai South,Milind Deora,INC,,,
2009,Maharashtra,Mumbai South,Milind Deora,INC,Milind Deora,INC,TRUE
2019,Maharashtra,Mumbai South,Arvind Sawant,SS,Milind Deora,INC,FALSE
2024,Maharashtra,Mumbai South,Arvind Sawant,Ss(Ubt),Arvind Sawant,SS,TRUE
2004,Maharashtra,Mumbai South Central,Mohan Rawale,SS,,,
2009,Maharashtra,Mumbai South Central,Eknath Gaikwad,INC,Mohan Rawale,SS,FALSE
2019,Maharashtra,Mumbai South Central,Rahul Shewale,SS,Eknath Gaikwad,INC,FALSE
2024,Maharashtra,Mumbai South Central,Anil Desai,Ss(Ubt),Rahul Shewale,SS,FALSE
2014,Maharashtra,Mumbai-North,Gopal Chinayya Shetty,BJP,,,
2014,Maharashtra,Mumbai-North-Central,Poonam Mahajan,BJP,,,
2014,Maharashtra,Mumbai-North-East,Kirit Somaiya,BJP,,,
2014,Maharashtra,Mumbai-North-West,Gajanan Chandrakant Kirtikar,SS,,,
2014,Maharashtra,Mumbai-South,Arvind Sawant,SS,,,
2014,Maharashtra,Mumbai-South-Central,Rahul Ramesh Shewale,SS,,,
2004,Maharashtra,Nagpur,Vilas Muttemwar,INC,,,
2009,Maharashtra,Nagpur,Vilas Muttemwar,INC,Vilas Muttemwar,INC,TRUE
2014,Maharashtra,Nagpur,Gadkari Nitin Jairam,BJP,Vilas Muttemwar,INC,FALSE
2019,Maharashtra,Nagpur,Nitin Gadkari,BJP,Gadkari Nitin Jairam,BJP,FALSE
2024,Maharashtra,Nagpur,Nitin Gadkari,BJP,Nitin Gadkari,BJP,TRUE
2004,Maharashtra,Nanded,Digamber Bapuji Patil,BJP,,,
2009,Maharashtra,Nanded,Bhaskarrao Khatgaonkar,INC,Digamber Bapuji Patil,BJP,FALSE
2014,Maharashtra,Nanded,Ashok Chavan,INC,Bhaskarrao Khatgaonkar,INC,FALSE
2019,Maharashtra,Nanded,Prataprao Chikhalikar,BJP,Ashok Chavan,INC,FALSE
2024,Maharashtra,Nanded,Vasantrao Balwantrao Chavan,INC,Prataprao Chikhalikar,BJP,FALSE
2004,Maharashtra,Nandurbar,Manikrao Gavit,INC,,,
2009,Maharashtra,Nandurbar,Manikrao Hodlya Gavit,INC,Manikrao Gavit,INC,FALSE
2014,Maharashtra,Nandurbar,Dr.Gavit Heena Vaijaykumar,BJP,Manikrao Hodlya Gavit,INC,FALSE
2019,Maharashtra,Nandurbar,Heena Gavit,BJP,Dr.Gavit Heena Vaijaykumar,BJP,FALSE
2024,Maharashtra,Nandurbar,Gowaal Kagada Padavi,INC,Heena Gavit,BJP,FALSE
2004,Maharashtra,Nashik,Devidas Pingale,NCP,,,
2009,Maharashtra,Nashik,Sameer Bhujbal,NCP,Devidas Pingale,NCP,FALSE
2014,Maharashtra,Nashik,Godse Hemant Tukaram,SS,Sameer Bhujbal,NCP,FALSE
2019,Maharashtra,Nashik,Hemant Godse,SS,Godse Hemant Tukaram,SS,FALSE
2024,Maharashtra,Nashik,Rajabhau Waje,Ss(Ubt),Hemant Godse,SS,FALSE
2004,Maharashtra,Osmanabad,Kalpana Narhire,SS,,,
2009,Maharashtra,Osmanabad,Padamsinha Patil,NCP,Kalpana Narhire,SS,FALSE
2014,Maharashtra,Osmanabad,Gaikwad Ravindra Vishwanath,SS,Padamsinha Patil,NCP,FALSE
2019,Maharashtra,Osmanabad,Omraje Nimbalkar,SS,Gaikwad Ravindra Vishwanath,SS,FALSE
2024,Maharashtra,Osmanabad,Omprakash Rajenimbalkar,Ss(Ubt),Omraje Nimbalkar,SS,FALSE
2009,Maharashtra,Palghar,Baliram Jadhav,Bahujan Vikas Aaghadi,,,
2014,Maharashtra,Palghar,Adv. Chintaman Navasha Wanga,BJP,Baliram Jadhav,Bahujan Vikas Aaghadi,FALSE
2019,Maharashtra,Palghar,Rajendra Gavit,SS,Adv. Chintaman Navasha Wanga,BJP,FALSE
2024,Maharashtra,Palghar,Hemant Vishnu Savara,BJP,Rajendra Gavit,SS,FALSE
2004,Maharashtra,Pandharpur,Ramdas Athawale,Republican Party Of India (A),,,
2004,Maharashtra,Parbhani,Tukaram Renge Patil,SS,,,
2009,Maharashtra,Parbhani,Ganeshrao Dudhgaonkar,SS,Tukaram Renge Patil,SS,FALSE
2014,Maharashtra,Parbhani,Jadhav Sanjay (Bandu) Haribhau,SS,Ganeshrao Dudhgaonkar,SS,FALSE
2019,Maharashtra,Parbhani,Sanjay Jadhav,SS,Jadhav Sanjay (Bandu) Haribhau,SS,FALSE
2024,Maharashtra,Parbhani,Sanjay Jadhav,Ss(Ubt),Sanjay Jadhav,SS,TRUE
2004,Maharashtra,Pune,Suresh Kalmadi,INC,,,
2009,Maharashtra,Pune,Suresh Kalmadi,INC,Suresh Kalmadi,INC,TRUE
2014,Maharashtra,Pune,Anil Shirole,BJP,Suresh Kalmadi,INC,FALSE
2019,Maharashtra,Pune,Girish Bapat,BJP,Anil Shirole,BJP,FALSE
2024,Maharashtra,Pune,Murlidhar Mohol,BJP,Girish Bapat,BJP,FALSE
2009,Maharashtra,Raigad,Anant Geete,SS,,,
2014,Maharashtra,Raigad,Anant Geete,SS,Anant Geete,SS,TRUE
2019,Maharashtra,Raigad,Sunil Tatkare,NCP,Anant Geete,SS,FALSE
2024,Maharashtra,Raigad,Sunil Tatkare,NCP,Sunil Tatkare,NCP,TRUE
2004,Maharashtra,Rajapur,Suresh Prabhu,SS,,,
2004,Maharashtra,Ramtek,Subodh Mohite,SS,,,
2009,Maharashtra,Ramtek,Mukul Wasnik,INC,Subodh Mohite,SS,FALSE
2014,Maharashtra,Ramtek,Krupal Balaji Tumane,SS,Mukul Wasnik,INC,FALSE
2019,Maharashtra,Ramtek,Krupal Tumane,SS,Krupal Balaji Tumane,SS,FALSE
2024,Maharashtra,Ramtek,Shyamkumar Barve,INC,Krupal Tumane,SS,FALSE
2004,Maharashtra,Ratnagiri,Anant Geete,SS,,,
2009,Maharashtra,Ratnagiri-Sindhudurg,Nilesh Narayan Rane,INC,,,
2014,Maharashtra,Ratnagiri-Sindhudurg,Vinayak Bhaurao Raut,SS,Nilesh Narayan Rane,INC,FALSE
2019,Maharashtra,Ratnagiri-Sindhudurg,Vinayak Raut,SS,Vinayak Bhaurao Raut,SS,FALSE
2024,Maharashtra,Ratnagiri-Sindhudurg,Narayan Rane,BJP,Vinayak Raut,SS,FALSE
2009,Maharashtra,Raver,Haribhau Jawale,BJP,,,
2014,Maharashtra,Raver,Khadase Raksha Nikhil,BJP,Haribhau Jawale,BJP,FALSE
2019,Maharashtra,Raver,Raksha Khadase,BJP,Khadase Raksha Nikhil,BJP,FALSE
2024,Maharashtra,Raver,Raksha Khadse,BJP,Raksha Khadase,BJP,FALSE
2004,Maharashtra,Sangli,Prakashbapu Vasantdada Patil,INC,,,
2009,Maharashtra,Sangli,Pratik Patil,INC,Prakashbapu Vasantdada Patil,INC,FALSE
2014,Maharashtra,Sangli,Sanjaykaka Patil,BJP,Pratik Patil,INC,FALSE
2019,Maharashtra,Sangli,Sanjaykaka Patil,BJP,Sanjaykaka Patil,BJP,TRUE
2024,Maharashtra,Sangli,Vishal Prakashbapu Patil,IND,Sanjaykaka Patil,BJP,FALSE
2004,Maharashtra,Satara,Laxmanrao Pandurang Jadhav (Patil),NCP,,,
2009,Maharashtra,Satara,Udayanraje Bhosale,NCP,Laxmanrao Pandurang Jadhav (Patil),NCP,FALSE
2014,Maharashtra,Satara,Udayanraje Bhosale,NCP,Udayanraje Bhosale,NCP,TRUE
2019,Maharashtra,Satara,Udayanraje Bhosale,NCP,Udayanraje Bhosale,NCP,TRUE
2024,Maharashtra,Satara,Shrimant Chhatrapati Udayanraje Pratapsinhmaharaj Bhonsle,BJP,Udayanraje Bhosale,NCP,FALSE
2009,Maharashtra,Shirdi,Bhausaheb Wakchaure,SS,,,
2014,Maharashtra,Shirdi,Sadashiv Lokhande,SS,Bhausaheb Wakchaure,SS,FALSE
2019,Maharashtra,Shirdi,Sadashiv Lokhande,SS,Sadashiv Lokhande,SS,TRUE
2024,Maharashtra,Shirdi,Bhausaheb Rajaram Wakchaure,Ss(Ubt),Sadashiv Lokhande,SS,FALSE
2009,Maharashtra,Shirur,Shivajirao Adhalarao Patil,SS,,,
2014,Maharashtra,Shirur,Adhalrao Shivaji Dattatrey,SS,Shivajirao Adhalarao Patil,SS,FALSE
2019,Maharashtra,Shirur,Amol Kolhe,NCP,Adhalrao Shivaji Dattatrey,SS,FALSE
2024,Maharashtra,Shirur,Amol Kolhe,NCP-SP,Amol Kolhe,NCP,TRUE
2004,Maharashtra,Sholapur,Subhash Sureshchandra Deshmukh,BJP,,,
2009,Maharashtra,Solapur,Sushilkumar Shinde,INC,,,
2014,Maharashtra,Solapur,Sharad Bansode,BJP,Sushilkumar Shinde,INC,FALSE
2019,Maharashtra,Solapur,Jaisidhesvar Swami,BJP,Sharad Bansode,BJP,FALSE
2024,Maharashtra,Solapur,Praniti Shinde,INC,Jaisidhesvar Swami,BJP,FALSE
2004,Maharashtra,Thane,Prakash Paranjape,SS,,,
2009,Maharashtra,Thane,Sanjeev Naik,NCP,Prakash Paranjape,SS,FALSE
2014,Maharashtra,Thane,Vichare Rajan Baburao,SS,Sanjeev Naik,NCP,FALSE
2019,Maharashtra,Thane,Rajan Vichare,SS,Vichare Rajan Baburao,SS,FALSE
2024,Maharashtra,Thane,Naresh Mhaske,SS,Rajan Vichare,SS,FALSE
2004,Maharashtra,Wardha,Suresh Wagmare,BJP,,,
2009,Maharashtra,Wardha,Datta Meghe,INC,Suresh Wagmare,BJP,FALSE
2014,Maharashtra,Wardha,Ramdas Chandrabhanji Tadas,BJP,Datta Meghe,INC,FALSE
2019,Maharashtra,Wardha,Ramdas Tadas,BJP,Ramdas Chandrabhanji Tadas,BJP,FALSE
2024,Maharashtra,Wardha,Amar Sharadrao Kale,NCP-SP,Ramdas Tadas,BJP,FALSE
2004,Maharashtra,Washim,Bhavana Gawali,SS,,,
2004,Maharashtra,Yavatmal,Harising Nasaru Rathod,BJP,,,
2009,Maharashtra,Yavatmal-Washim,Bhavana Gawali,SS,,,
2014,Maharashtra,Yavatmal-Washim,Gawali Bhavana Pundlikra,SS,Bhavana Gawali,SS,FALSE
2019,Maharashtra,Yavatmal-Washim,Bhavana Gawali,SS,Gawali Bhavana Pundlikra,SS,FALSE
2024,Maharashtra,Yavatmal-Washim,Sanjay Uttamrao Deshmukh,Ss(Ubt),Bhavana Gawali,SS,FALSE
2004,Manipur,Inner Manipur,Thokchom Meinya,INC,,,
2009,Manipur,Inner Manipur,Thokchom Meinya,INC,Thokchom Meinya,INC,TRUE
2014,Manipur,Inner Manipur,Dr. Thokchom Meinya,INC,Thokchom Meinya,INC,FALSE
2019,Manipur,Inner Manipur,Rajkumar Ranjan Singh,BJP,Dr. Thokchom Meinya,INC,FALSE
2024,Manipur,Inner Manipur,Angomcha Bimol Akoijam,INC,Rajkumar Ranjan Singh,BJP,FALSE
2004,Manipur,Outer Manipur,Mani Charenamei,IND,,,
2009,Manipur,Outer Manipur,Thangso Baite,INC,Mani Charenamei,IND,FALSE
2014,Manipur,Outer Manipur,Thangso Baite,INC,Thangso Baite,INC,TRUE
2019,Manipur,Outer Manipur,Lorho S. Pfoze,Naga People'S Front,Thangso Baite,INC,FALSE
2024,Manipur,Outer Manipur,Alfred Kan-Ngam Arthur,INC,Lorho S. Pfoze,Naga People'S Front,FALSE
2004,Meghalaya,Shillong,Paty Ripple Kyndiah,INC,,,
2009,Meghalaya,Shillong,Vincent Pala,INC,Paty Ripple Kyndiah,INC,FALSE
2014,Meghalaya,Shillong,Vincent H. Pala,INC,Vincent Pala,INC,FALSE
2019,Meghalaya,Shillong,Vincent Pala,INC,Vincent H. Pala,INC,FALSE
2024,Meghalaya,Shillong,Ricky AJ Syngkon,VPP,Vincent Pala,INC,FALSE
2004,Meghalaya,Tura,Purno Agitok Sangma,TMC,,,
2009,Meghalaya,Tura,Agatha Sangma,NCP,Purno Agitok Sangma,TMC,FALSE
2014,Meghalaya,Tura,Purno Agitok Sangma,National People'S Party,Agatha Sangma,NCP,FALSE
2019,Meghalaya,Tura,Agatha Sangma,National People'S Party,Purno Agitok Sangma,National People'S Party,FALSE
2024,Meghalaya,Tura,Saleng A. Sangma,INC,Agatha Sangma,National People'S Party,FALSE
2004,Mizoram,Mizoram,Vanlalzawma,Mizo National Front,,,
2009,Mizoram,Mizoram,C. L. Ruala,INC,Vanlalzawma,Mizo National Front,FALSE
2014,Mizoram,Mizoram,C. L. Ruala,INC,C. L. Ruala,INC,TRUE
2019,Mizoram,Mizoram,C. Lalrosanga,Mizo National Front,C. L. Ruala,INC,FALSE
2024,Mizoram,Mizoram,Richard Vanlalhmangaiha,ZPM,C. Lalrosanga,Mizo National Front,FALSE
2004,Nagaland,Nagaland,W. Wangyuh,Naga People'S Front,,,
2009,Nagaland,Nagaland,C. M. Chang,Naga People'S Front,W. Wangyuh,Naga People'S Front,FALSE
2014,Nagaland,Nagaland,Neiphiu Rio,Naga People'S Front,C. M. Chang,Naga People'S Front,FALSE
2019,Nagaland,Nagaland,Tokheho Yepthomi,Nationalist Democratic Progressive Party,Neiphiu Rio,Naga People'S Front,FALSE
2024,Nagaland,Nagaland,S. Supongmeren Jamir,INC,Tokheho Yepthomi,Nationalist Democratic Progressive Party,FALSE
2004,Odisha,Aska,Hari Har Swain,BJD,,,
2009,Odisha,Aska,Nityananda Pradhan,BJD,Hari Har Swain,BJD,FALSE
2014,Odisha,Aska,Ladu Kishore Swain,BJD,Nityananda Pradhan,BJD,FALSE
2019,Odisha,Aska,Pramila Bisoyi,BJD,Ladu Kishore Swain,BJD,FALSE
2024,Odisha,Aska,Anita Subhadarshini,BJP,Pramila Bisoyi,BJD,FALSE
2004,Odisha,Balasore,Kharabela Swain,BJP,,,
2009,Odisha,Balasore,Srikant Kumar Jena,INC,Kharabela Swain,BJP,FALSE
2014,Odisha,Balasore,Rabindra Kumar Jena,BJD,Srikant Kumar Jena,INC,FALSE
2019,Odisha,Balasore,Pratap Chandra Sarangi,BJP,Rabindra Kumar Jena,BJD,FALSE
2024,Odisha,Balasore,Pratap Chandra Sarangi,BJP,Pratap Chandra Sarangi,BJP,TRUE
2009,Odisha,Bargarh,Sanjay Bhoi,INC,,,
2014,Odisha,Bargarh,Prabhas Kumar Singh,BJD,Sanjay Bhoi,INC,FALSE
2019,Odisha,Bargarh,Suresh Pujari,BJP,Prabhas Kumar Singh,BJD,FALSE
2024,Odisha,Bargarh,Pradeep Purohit,BJP,Suresh Pujari,BJP,FALSE
2004,Odisha,Berhampur,Chandra Sekhar Sahu,INC,,,
2009,Odisha,Berhampur,Siddhanta Mahapatra,BJD,Chandra Sekhar Sahu,INC,FALSE
2014,Odisha,Berhampur,Sidhant Mohapatra,BJD,Siddhanta Mahapatra,BJD,FALSE
2019,Odisha,Berhampur,Chandra Sekhar Sahu,BJD,Sidhant Mohapatra,BJD,FALSE
2024,Odisha,Berhampur,Pradeep Kumar Panigrahy,BJP,Chandra Sekhar Sahu,BJD,FALSE
2004,Odisha,Bhadrak,Arjun Charan Sethi,BJD,,,
2009,Odisha,Bhadrak,Arjun Charan Sethi,BJD,Arjun Charan Sethi,BJD,TRUE
2014,Odisha,Bhadrak,Arjun Charan Sethi,BJD,Arjun Charan Sethi,BJD,TRUE
2019,Odisha,Bhadrak,Manjulata Mandal,BJD,Arjun Charan Sethi,BJD,FALSE
2024,Odisha,Bhadrak,Avimanyu Sethi,BJP,Manjulata Mandal,BJD,FALSE
2004,Odisha,Bhubaneswar,Prasanna Kumar Patasani,BJD,,,
2009,Odisha,Bhubaneswar,Prasanna Kumar Patasani,BJD,Prasanna Kumar Patasani,BJD,TRUE
2014,Odisha,Bhubaneswar,Prasanna Kumar Patasani,BJD,Prasanna Kumar Patasani,BJD,TRUE
2019,Odisha,Bhubaneswar,Aparajita Sarangi,BJP,Prasanna Kumar Patasani,BJD,FALSE
2024,Odisha,Bhubaneswar,Aparajita Sarangi,BJP,Aparajita Sarangi,BJP,TRUE
2004,Odisha,Bolangir,Sangeeta Kumari Singh Deo,BJP,,,
2009,Odisha,Bolangir,Kalikesh Narayan Singh Deo,BJD,Sangeeta Kumari Singh Deo,BJP,FALSE
2014,Odisha,Bolangir,Kalikesh Narayan Singh Deo,BJD,Kalikesh Narayan Singh Deo,BJD,TRUE
2019,Odisha,Bolangir,Sangeeta Kumari Singh Deo,BJP,Kalikesh Narayan Singh Deo,BJD,FALSE
2024,Odisha,Bolangir,Sangeeta Kumari Singh Deo,BJP,Sangeeta Kumari Singh Deo,BJP,TRUE
2004,Odisha,Cuttack,Bhartruhari Mahtab,BJD,,,
2009,Odisha,Cuttack,Bhartruhari Mahtab,BJD,Bhartruhari Mahtab,BJD,TRUE
2014,Odisha,Cuttack,Bhartruhari Mahatab,BJD,Bhartruhari Mahtab,BJD,FALSE
2019,Odisha,Cuttack,Bhartruhari Mahtab,BJD,Bhartruhari Mahatab,BJD,FALSE
2024,Odisha,Cuttack,Bhartruhari Mahtab,BJP,Bhartruhari Mahtab,BJD,TRUE
2004,Odisha,Deogarh,Dharmendra Pradhan,BJP,,,
2004,Odisha,Dhenkanal,Tathagata Satpathy,BJD,,,
2009,Odisha,Dhenkanal,Tathagata Satpathy,BJD,Tathagata Satpathy,BJD,TRUE
2014,Odisha,Dhenkanal,Tathagata Satpathy,BJD,Tathagata Satpathy,BJD,TRUE
2019,Odisha,Dhenkanal,Mahesh Sahoo,BJD,Tathagata Satpathy,BJD,FALSE
2024,Odisha,Dhenkanal,Rudra Narayan Pany,BJP,Mahesh Sahoo,BJD,FALSE
2004,Odisha,Jagatsinghpur,Brahmananda Panda,BJD,,,
2009,Odisha,Jagatsinghpur,Bibhu Prasad Tarai,CPI,Brahmananda Panda,BJD,FALSE
2014,Odisha,Jagatsinghpur,Kulamani Samal,BJD,Bibhu Prasad Tarai,CPI,FALSE
2019,Odisha,Jagatsinghpur,Rajashree Mallick,BJD,Kulamani Samal,BJD,FALSE
2024,Odisha,Jagatsinghpur,Bibhu Prasad Tarai,BJP,Rajashree Mallick,BJD,FALSE
2004,Odisha,Jajpur,Mohan Jena,BJD,,,
2009,Odisha,Jajpur,Mohan Jena,BJD,Mohan Jena,BJD,TRUE
2014,Odisha,Jajpur,Rita Tarai,BJD,Mohan Jena,BJD,FALSE
2019,Odisha,Jajpur,Sarmistha Sethi,BJD,Rita Tarai,BJD,FALSE
2024,Odisha,Jajpur,Rabindra Narayan Behera,BJP,Sarmistha Sethi,BJD,FALSE
2004,Odisha,Kalahandi,Bikram Keshari Deo,BJP,,,
2009,Odisha,Kalahandi,Bhakta Charan Das,INC,Bikram Keshari Deo,BJP,FALSE
2014,Odisha,Kalahandi,Arka Keshari Deo,BJD,Bhakta Charan Das,INC,FALSE
2019,Odisha,Kalahandi,Basanta Kumar Panda,BJP,Arka Keshari Deo,BJD,FALSE
2024,Odisha,Kalahandi,Malvika Devi,BJP,Basanta Kumar Panda,BJP,FALSE
2009,Odisha,Kandhamal,Rudra Madhab Ray,BJD,,,
2014,Odisha,Kandhamal,Hemendra Chandra Singh,BJD,Rudra Madhab Ray,BJD,FALSE
2019,Odisha,Kandhamal,Achyutananda Samanta,BJD,Hemendra Chandra Singh,BJD,FALSE
2024,Odisha,Kandhamal,Sukanta Kumar Panigrahi,BJP,Achyutananda Samanta,BJD,FALSE
2004,Odisha,Kendrapara,Archana Nayak,BJD,,,
2009,Odisha,Kendrapara,Baijayant Panda,BJD,Archana Nayak,BJD,FALSE
2014,Odisha,Kendrapara,Baijayant Panda,BJD,Baijayant Panda,BJD,TRUE
2019,Odisha,Kendrapara,Anubhav Mohanty,BJD,Baijayant Panda,BJD,FALSE
2024,Odisha,Kendrapara,Baijayant Panda,BJP,Anubhav Mohanty,BJD,FALSE
2004,Odisha,Keonjhar,Ananta Nayak,BJP,,,
2009,Odisha,Keonjhar,Yashbant Narayan Singh Laguri,BJD,Ananta Nayak,BJP,FALSE
2014,Odisha,Keonjhar,Sakuntala Laguri,BJD,Yashbant Narayan Singh Laguri,BJD,FALSE
2019,Odisha,Keonjhar,Chandrani Murmu,BJD,Sakuntala Laguri,BJD,FALSE
2024,Odisha,Keonjhar,Ananta Nayak,BJP,Chandrani Murmu,BJD,FALSE
2004,Odisha,Koraput,Giridhar Gamang,INC,,,
2009,Odisha,Koraput,Jayaram Pangi,BJD,Giridhar Gamang,INC,FALSE
2014,Odisha,Koraput,Jhina Hikaka,BJD,Jayaram Pangi,BJD,FALSE
2019,Odisha,Koraput,Saptagiri Ulaka,INC,Jhina Hikaka,BJD,FALSE
2024,Odisha,Koraput,Saptagiri Sankar Ulaka,INC,Saptagiri Ulaka,INC,FALSE
2004,Odisha,Mayurbhanj,Sudam Marndi,JMM,,,
2009,Odisha,Mayurbhanj,Laxman Tudu,BJD,Sudam Marndi,JMM,FALSE
2014,Odisha,Mayurbhanj,Rama Chandra Hansdah,BJD,Laxman Tudu,BJD,FALSE
2019,Odisha,Mayurbhanj,Bishweswar Tudu,BJP,Rama Chandra Hansdah,BJD,FALSE
2024,Odisha,Mayurbhanj,Naba Charan Majhi,BJP,Bishweswar Tudu,BJP,FALSE
2009,Odisha,Nabarangpur,Pradeep Kumar Majhi,INC,,,
2014,Odisha,Nabarangpur,Balabhadra Majhi,BJD,Pradeep Kumar Majhi,INC,FALSE
2019,Odisha,Nabarangpur,Ramesh Chandra Majhi,BJD,Balabhadra Majhi,BJD,FALSE
2024,Odisha,Nabarangpur,Balabhadra Majhi,BJP,Ramesh Chandra Majhi,BJD,FALSE
2004,Odisha,Nowrangpur,Parsuram Majhi,BJP,,,
2004,Odisha,Phulbani,Sugrib Singh,BJD,,,
2004,Odisha,Puri,Braja Kishore Tripathy,BJD,,,
2009,Odisha,Puri,Pinaki Misra,BJD,Braja Kishore Tripathy,BJD,FALSE
2014,Odisha,Puri,Pinaki Misra,BJD,Pinaki Misra,BJD,TRUE
2019,Odisha,Puri,Pinaki Mishra,BJD,Pinaki Misra,BJD,FALSE
2024,Odisha,Puri,Sambit Patra,BJP,Pinaki Mishra,BJD,FALSE
2004,Odisha,Sambalpur,Prasanna Acharya,BJD,,,
2009,Odisha,Sambalpur,Amarnath Pradhan,INC,Prasanna Acharya,BJD,FALSE
2014,Odisha,Sambalpur,Nagendra Kumar Pradhan,BJD,Amarnath Pradhan,INC,FALSE
2019,Odisha,Sambalpur,Nitesh Gangadev,BJP,Nagendra Kumar Pradhan,BJD,FALSE
2024,Odisha,Sambalpur,Dharmendra Pradhan,BJP,Nitesh Gangadev,BJP,FALSE
2004,Odisha,Sundargarh,Jual Oram,BJP,,,
2009,Odisha,Sundargarh,Hemananda Biswal,INC,Jual Oram,BJP,FALSE
2014,Odisha,Sundargarh,Jual Oram,BJP,Hemananda Biswal,INC,FALSE
2019,Odisha,Sundargarh,Jual Oram,BJP,Jual Oram,BJP,TRUE
2024,Odisha,Sundargarh,Jual Oram,BJP,Jual Oram,BJP,TRUE
2004,Puducherry,Puducherry,M. Ramadass,Pattali Makkal Katchi,,,
2009,Puducherry,Puducherry,V. Narayanasamy,INC,M. Ramadass,Pattali Makkal Katchi,FALSE
2014,Puducherry,Puducherry,R. Radhakrishnan,All India N.R. Congress,V. Narayanasamy,INC,FALSE
2019,Puducherry,Puducherry,V. Vaithilingam,INC,R. Radhakrishnan,All India N.R. Congress,FALSE
2024,Puducherry,Puducherry,V. Vaithilingam,INC,V. Vaithilingam,INC,TRUE
2004,Punjab,Amritsar,Navjot Singh Sidhu,BJP,,,
2009,Punjab,Amritsar,Navjot Singh Sidhu,BJP,Navjot Singh Sidhu,BJP,TRUE
2014,Punjab,Amritsar,Captain Amarinder Singh,INC,Navjot Singh Sidhu,BJP,FALSE
2019,Punjab,Amritsar,Gurjeet Singh Aujla,INC,Captain Amarinder Singh,INC,FALSE
2024,Punjab,Amritsar,Gurjeet Singh Aujla,INC,Gurjeet Singh Aujla,INC,TRUE
2009,Punjab,Anandpur Sahib,Ravneet Singh Bittu,INC,,,
2014,Punjab,Anandpur Sahib,Prem Singh Chandumajra,SAD,Ravneet Singh Bittu,INC,FALSE
2019,Punjab,Anandpur Sahib,Manish Tiwari,INC,Prem Singh Chandumajra,SAD,FALSE
2024,Punjab,Anandpur Sahib,Malvinder Singh Kang,AAP,Manish Tiwari,INC,FALSE
2009,Punjab,Bathinda,Harsimrat Kaur Badal,SAD,,,
2014,Punjab,Bathinda,Harsimrat Kaur Badal,SAD,Harsimrat Kaur Badal,SAD,TRUE
2019,Punjab,Bathinda,Harsimrat Kaur Badal,SAD,Harsimrat Kaur Badal,SAD,TRUE
2024,Punjab,Bathinda,Harsimrat Kaur Badal,SAD,Harsimrat Kaur Badal,SAD,TRUE
2004,Punjab,Bhatinda,Paramjit Kaur Gulshan,SAD,,,
2004,Punjab,Faridkot,Sukhbir Singh Badal,SAD,,,
2009,Punjab,Faridkot,Paramjit Kaur Gulshan,SAD,Sukhbir Singh Badal,SAD,FALSE
2014,Punjab,Faridkot,Prof. Sadhu Singh,AAP,Paramjit Kaur Gulshan,SAD,FALSE
2019,Punjab,Faridkot,Muhammad Sadiq,INC,Prof. Sadhu Singh,AAP,FALSE
2024,Punjab,Faridkot,Sarabjeet Singh Khalsa,IND,Muhammad Sadiq,INC,FALSE
2009,Punjab,Fatehgarh Sahib,Sukhdev Singh Libra,INC,,,
2014,Punjab,Fatehgarh Sahib,Harinder Singh Khalsa,AAP,Sukhdev Singh Libra,INC,FALSE
2019,Punjab,Fatehgarh Sahib,Amar Singh,INC,Harinder Singh Khalsa,AAP,FALSE
2024,Punjab,Fatehgarh Sahib,Amar Singh,INC,Amar Singh,INC,TRUE
2004,Punjab,Ferozepur,Zora Singh Maan,SAD,,,
2009,Punjab,Ferozepur,Sher Singh Ghubaya,SAD,Zora Singh Maan,SAD,FALSE
2014,Punjab,Ferozpur,Sher Singh Ghubaya,SAD,,,
2019,Punjab,Ferozpur,Sukhbir Singh Badal,SAD,Sher Singh Ghubaya,SAD,FALSE
2024,Punjab,Ferozpur,Sher Singh Ghubaya,INC,Sukhbir Singh Badal,SAD,FALSE
2004,Punjab,Gurdaspur,Vinod Khanna,BJP,,,
2009,Punjab,Gurdaspur,Partap Singh Bajwa,INC,Vinod Khanna,BJP,FALSE
